775,32,57,101,157
750,28,47,77,138
625,32,65,113,163
425,18,31,50,105
400,19,32,51,103
675,27,50,88,148
525,31,60,106,160
450,29,47,75,130
451,35,56,88,144
401,18,30,48,97
426,17,28,46,97
751,26,43,71,129
776,32,56,102,159
752,34,54,87,147
427,20,34,54,112
702,17,30,49,104
727,38,72,116,164
777,32,61,107,159
402,20,34,54,111
452,34,56,89,143
403,21,36,59,121
428,16,28,44,90
753,25,41,68,126
453,36,58,92,149
778,32,61,111,162
454,35,58,93,150
404,20,33,53,107
504,51,77,113,161
779,32,61,107,161
429,18,30,48,105
754,33,60,106,160
455,35,56,90,146
630,34,64,110,162
430,17,29,47,95
680,25,48,85,147
780,34,61,103,157
755,33,59,102,158
405,18,32,51,104
555,32,60,108,162
781,31,61,109,161
756,33,59,101,157
681,33,57,95,152
456,41,69,108,159
731,37,61,98,153
406,20,34,56,117
431,20,32,51,109
706,21,36,61,124
482,34,64,110,162
782,31,61,109,161
407,19,33,52,103
757,35,62,106,160
707,37,60,95,151
432,17,29,48,99
457,40,63,97,151
583,30,57,104,160
708,37,62,97,152
408,20,33,52,106
458,31,51,83,140
758,31,57,102,158
483,51,76,112,161
433,17,29,48,98
409,18,31,49,96
709,40,62,97,152
459,31,50,82,140
759,31,56,100,158
434,17,29,47,99
484,48,74,109,158
410,20,34,54,106
685,31,54,90,148
710,36,59,94,149
435,34,56,91,148
735,38,60,94,150
760,31,54,98,156
661,36,61,97,153
511,45,65,98,155
711,38,61,97,151
436,37,60,97,152
686,28,48,81,142
411,22,37,57,108
761,33,61,108,161
536,37,70,115,164
636,30,56,105,161
687,32,58,94,150
762,30,55,103,160
412,17,29,47,97
437,38,63,98,152
612,32,59,107,162
712,36,60,97,151
713,35,57,92,149
413,18,30,49,101
438,32,53,86,144
763,32,61,107,161
688,20,35,58,120
738,35,58,95,151
489,52,76,113,161
414,17,29,46,95
689,19,33,55,115
764,32,58,106,161
439,40,63,97,152
714,34,56,92,149
440,34,56,91,148
715,38,63,101,156
765,34,71,115,163
415,15,27,43,90
515,49,76,111,163
441,34,60,101,157
766,34,65,111,163
741,39,66,103,156
416,15,26,43,87
716,42,68,106,158
767,26,53,100,158
417,15,26,43,85
667,33,58,95,152
617,33,63,111,163
567,36,69,114,164
442,35,59,95,152
642,29,51,87,148
392,18,31,49,103
643,32,57,94,152
393,18,31,51,108
418,15,25,41,81
443,37,61,97,152
768,32,59,106,161
693,19,32,52,108
769,34,66,113,163
419,14,24,39,78
744,37,61,97,152
394,21,35,57,121
444,35,57,93,150
644,34,60,99,154
420,17,30,49,99
395,19,32,51,103
770,33,60,105,160
520,41,68,103,159
445,37,61,97,151
495,51,75,110,159
446,32,52,83,142
396,16,27,43,90
421,16,28,46,92
771,31,67,117,164
397,15,26,44,91
772,31,55,102,159
422,15,25,40,81
447,34,54,86,145
722,39,71,113,163
398,20,33,54,110
698,22,39,66,130
748,33,55,90,147
448,29,48,78,135
598,33,61,107,161
773,35,66,110,161
423,15,26,42,86
524,33,63,110,162
424,18,31,49,103
774,32,59,104,159
399,20,35,57,112
449,30,49,80,140
674,35,59,96,152
749,37,60,97,154
499,52,79,116,162
