760,9783,14181,0.69
777,11269,19603,0.57
555,170153,260354,0.65
408,289627,542378,0.53
762,58205,102660,0.57
741,208745,338312,0.62
449,648646,980774,0.66
440,219640,345583,0.64
511,5021,8031,0.63
715,1400931,2344720,0.6
698,614502,887013,0.69
404,2051531,3790393,0.54
782,98852,181053,0.55
709,220895,344468,0.64
417,317467,566132,0.56
436,3318552,5451565,0.61
504,19366,29786,0.65
702,262040,371290,0.71
751,129437,160075,0.81
421,276977,476474,0.58
770,39670,68462,0.58
416,1554732,2871851,0.54
448,356782,527349,0.68
756,152486,242238,0.63
443,232257,398764,0.58
766,6300,13537,0.47
397,302458,538919,0.56
687,84777,126346,0.67
453,1355434,2447387,0.55
774,166539,292192,0.57
396,286647,536183,0.53
411,204625,377835,0.54
428,240959,395755,0.61
452,98142,183892,0.53
439,595330,961954,0.62
661,382606,565679,0.68
761,426966,764644,0.56
714,142111,231171,0.61
778,32927,60711,0.54
598,170984,312559,0.55
392,10266085,18432899,0.56
424,2213033,3784298,0.58
407,363561,619645,0.59
693,333472,491613,0.68
630,143279,230234,0.62
429,413088,688070,0.6
484,5572,9016,0.62
625,118722,219535,0.54
435,7861808,12964770,0.61
583,136904,255478,0.54
757,119398,182268,0.66
710,137886,207805,0.66
456,207443,372546,0.56
403,275622,501040,0.55
420,120076,226917,0.53
499,19520,26222,0.74
753,119859,160666,0.75
686,135420,239638,0.57
642,6861344,10612924,0.65
489,62436,75821,0.82
706,344937,489321,0.7
393,1720059,3109205,0.55
515,1572,2962,0.53
738,94164,159656,0.59
457,261696,545309,0.48
779,18737,33582,0.56
765,4464,7860,0.57
398,1146806,2035050,0.56
674,236441,415093,0.57
773,52138,91894,0.57
412,1019339,1855130,0.55
750,463730,594867,0.78
425,235747,450377,0.52
430,326540,615904,0.53
689,275640,385441,0.72
444,206771,359082,0.58
423,431668,781614,0.55
402,266618,469749,0.57
772,35829,62462,0.57
711,136508,215775,0.63
413,451660,807594,0.56
445,143139,213281,0.67
713,113922,174291,0.65
764,55281,102993,0.54
406,480616,911721,0.53
681,171655,295214,0.58
419,94970,208457,0.46
451,570932,935322,0.61
567,202890,324011,0.63
434,273090,477285,0.57
758,89140,136242,0.65
483,125115,173326,0.72
520,990,2035,0.49
769,108919,193433,0.56
685,118840,177492,0.67
399,145035,272644,0.53
768,42766,77226,0.55
636,138469,243784,0.57
780,32613,56288,0.58
455,203913,333429,0.61
394,739777,1409619,0.52
438,203787,350986,0.58
431,468135,729351,0.64
722,113124,188115,0.6
675,126776,215377,0.59
426,173273,287235,0.6
680,95497,147935,0.65
749,123165,211779,0.58
617,128425,226302,0.57
754,1082032,1840836,0.59
458,178081,309359,0.58
776,22411,37432,0.6
525,219907,351427,0.63
712,129462,206176,0.63
707,1043425,1632562,0.64
414,308535,557950,0.55
409,187250,373539,0.5
441,514956,891802,0.58
643,2122667,3416097,0.62
744,113876,196969,0.58
727,113425,183927,0.62
446,3187822,5065818,0.63
612,101982,197581,0.52
450,257927,407612,0.63
482,1938009,3226912,0.6
688,1830591,2624678,0.7
524,1812894,3053586,0.59
495,10638,19453,0.55
759,18868,28018,0.67
771,2734,5853,0.47
748,75538,162156,0.47
401,229191,406956,0.56
731,158815,260226,0.61
418,207345,396398,0.52
781,98852,181053,0.55
433,287495,509687,0.56
667,377859,580185,0.65
763,18898,34112,0.55
536,281179,432321,0.65
716,267387,436469,0.61
752,214434,274126,0.78
447,1255393,2030869,0.62
432,560585,986972,0.57
410,191146,368918,0.52
405,334706,596357,0.56
422,106229,215859,0.49
735,132692,207111,0.64
437,874194,1394074,0.63
767,1762,4152,0.42
400,230340,384661,0.6
415,259144,489586,0.53
395,391177,624484,0.63
427,355291,617606,0.58
644,392796,653138,0.6
459,208269,384901,0.54
442,328478,536039,0.61
775,48582,84576,0.57
755,389675,602947,0.65
454,296032,501843,0.59
708,162641,252876,0.64
